;; ;;Palgainfo;;;Ettevõtete arv;;;;Töötajatega ettevõtete arv  ;;;Käibemaksuinfo;;;;Tööjõumaksud;
KUU;MAAKOND;KOHALIK OMAVALITSUS;TEGEVUSALA;Keskmine palk sellel tegevusalal omavalitsuse territooriumil tegutsevates ettevõtetes (eurodes);Keskmine palk Eestis (eurodes);Keskmine palk sellel tegevusalal (eurodes);Juriidiliste isikute arv omavalitsuses;Tegutsevate ettevõtete arv omavalitsuses;Tegutsevate ettevõtete arv Eestis;Tegutsevate ettevõtete arv sellel tegevusalal  ;Töötajatega ettevõtete arv omavalitsuses;Töötajatega ettevõtete arv Eestis;Töötajatega ettevõtete arv sellel tegevusalal Eestis;Deklaratsiooni KMD esitavate juriidiliste isikute arv omavalitsuses;Käive kokku (eurodes);Eksport  (eurodes);Tasumisele kuuluv käibemaks (eurodes);Omavalitsuse tööandjate deklaratsioonis TSD märgitud töötajate arv;Omavalitsuse tööandjate  deklareeritud tööjõumaksud (eurodes)
1;Harju maakond;HARKU VALD;HALDUS- JA ABITEGEVUSED;1497;1987;1848;274;83;93709;5185;55;61219;3243;107;1534453;0;110796;238;110646
1;Harju maakond;HARKU VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1922;1987;2215;6;;93709;;;61219;;1;0;0;-3215;679;630916
1;Harju maakond;HARKU VALD;HARIDUS;1834;1987;2265;198;44;93709;1420;32;61219;998;34;177655;0;8301;107;74988
1;Harju maakond;HARKU VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2733;1987;2673;81;33;93709;1715;28;61219;1613;11;492954;0;3275;157;158060
1;Harju maakond;HARKU VALD;KUNST, MEELELAHUTUS JA VABA AEG;1551;1987;1652;302;51;93709;2338;32;61219;1376;51;208541;0;16752;67;32246
1;Harju maakond;HARKU VALD;MUUD TEENINDAVAD TEGEVUSED;1362;1987;1365;310;75;93709;4429;65;61219;3685;48;332259;95809;6920;113;56805
1;Harju maakond;HARKU VALD;Tegevusala määramata;1382;1987;1712;21;;93709;14;;61219;9;1;36072;0;-174;14;10042
1;Harju maakond;JÕELÄHTME VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1748;1987;1508;45;14;93709;3856;11;61219;2714;20;1241465;98369;68512;68;61003
1;Harju maakond;JÕELÄHTME VALD;MÄETÖÖSTUS;;1987;2043;2;;93709;122;;61219;101;1;0;0;-1;;
1;Harju maakond;JÕELÄHTME VALD;TÖÖTLEV TÖÖSTUS;1673;1987;1689;152;84;93709;7120;71;61219;5613;97;17699986;1810135;-418791;1587;1365801
1;Harju maakond;JÕELÄHTME VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1673;1987;2532;8;5;93709;661;3;61219;172;5;673480;0;37163;21;17605
1;Harju maakond;JÕELÄHTME VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";2021;1987;1832;12;5;93709;261;4;61219;213;4;1091434;0;108580;124;131839
1;Harju maakond;JÕELÄHTME VALD;EHITUS;1324;1987;1696;170;80;93709;11688;64;61219;9059;112;1157021;0;47033;208;119482
1;Harju maakond;JÕELÄHTME VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1815;1987;1678;242;98;93709;16421;60;61219;10798;141;12241148;15148;1074030;661;583063
1;Harju maakond;JÕELÄHTME VALD;VEONDUS JA LAONDUS;1457;1987;1733;114;59;93709;5322;46;61219;4051;66;2676616;647619;28346;219;150079
1;Harju maakond;JÕELÄHTME VALD;MAJUTUS JA TOITLUSTUS;1050;1987;1286;47;9;93709;3159;8;61219;2443;14;49689;0;-2739;25;11220
1;Harju maakond;JÕELÄHTME VALD;INFO JA SIDE;2124;1987;3378;68;27;93709;7933;15;61219;3479;33;207509;0;-56347;31;27639
1;Harju maakond;JÕELÄHTME VALD;FINANTS- JA KINDLUSTUSTEGEVUS;2365;1987;2920;37;7;93709;1066;6;61219;730;6;90568;0;15777;18;23097
1;Harju maakond;JÕELÄHTME VALD;KINNISVARAALANE TEGEVUS;1437;1987;1417;162;45;93709;6953;20;61219;2934;50;1090325;0;128279;32;12881
1;Harju maakond;JÕELÄHTME VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;4778;1987;2330;226;73;93709;14046;32;61219;7988;99;331032;30000;32765;46;24847
1;Harju maakond;JÕELÄHTME VALD;HALDUS- JA ABITEGEVUSED;1648;1987;1848;125;44;93709;5185;24;61219;3243;50;3212190;0;280381;488;396420
1;Harju maakond;JÕELÄHTME VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1889;1987;2215;3;;93709;;;61219;;0;0;0;0;429;340767
1;Harju maakond;JÕELÄHTME VALD;HARIDUS;1205;1987;2265;49;8;93709;1420;6;61219;998;5;41358;0;4724;10;3026
1;Harju maakond;JÕELÄHTME VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2604;1987;2673;25;9;93709;1715;9;61219;1613;2;37211;0;0;28;25788
1;Harju maakond;JÕELÄHTME VALD;KUNST, MEELELAHUTUS JA VABA AEG;1359;1987;1652;118;13;93709;2338;8;61219;1376;20;152531;40;3957;31;17980
1;Harju maakond;JÕELÄHTME VALD;MUUD TEENINDAVAD TEGEVUSED;1054;1987;1365;165;29;93709;4429;23;61219;3685;16;59794;0;5876;32;12552
1;Harju maakond;JÕELÄHTME VALD;Tegevusala määramata;;1987;1712;3;;93709;14;;61219;9;0;0;0;0;;
1;Harju maakond;KEILA LINN;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;813;1987;1508;25;5;93709;3856;2;61219;2714;8;52469;0;528;6;1926
1;Harju maakond;KEILA LINN;TÖÖTLEV TÖÖSTUS;1780;1987;1689;122;60;93709;7120;43;61219;5613;77;32084641;5058550;20232;1426;1322408
1;Harju maakond;KEILA LINN;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1464;1987;2532;5;2;93709;661;1;61219;172;3;409525;0;25180;14;10595
1;Harju maakond;KEILA LINN;EHITUS;1248;1987;1696;192;98;93709;11688;74;61219;9059;116;1594183;0;13035;193;111524
1;Harju maakond;KEILA LINN;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1328;1987;1678;241;107;93709;16421;62;61219;10798;133;6241135;62510;341498;572;340078
1;Harju maakond;KEILA LINN;VEONDUS JA LAONDUS;1424;1987;1733;73;41;93709;5322;29;61219;4051;43;1071966;0;-84189;114;75842
1;Harju maakond;KEILA LINN;MAJUTUS JA TOITLUSTUS;1165;1987;1286;32;12;93709;3159;11;61219;2443;15;257547;0;21625;71;33942
1;Harju maakond;KEILA LINN;INFO JA SIDE;1612;1987;3378;110;27;93709;7933;14;61219;3479;36;136223;0;16697;19;14609
1;Harju maakond;KEILA LINN;FINANTS- JA KINDLUSTUSTEGEVUS;725;1987;2920;36;2;93709;1066;1;61219;730;6;1082;0;209;1;411
1;Harju maakond;KEILA LINN;KINNISVARAALANE TEGEVUS;2414;1987;1417;149;40;93709;6953;18;61219;2934;52;1552111;0;111850;108;111185
1;Harju maakond;KEILA LINN;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1346;1987;2330;265;86;93709;14046;54;61219;7988;92;554334;9349;35254;83;45554
1;Harju maakond;KEILA LINN;HALDUS- JA ABITEGEVUSED;1165;1987;1848;129;40;93709;5185;27;61219;3243;46;563792;0;76902;113;50404
1;Harju maakond;KEILA LINN;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1531;1987;2215;1;;93709;;;61219;;0;0;0;0;451;368001
1;Harju maakond;KEILA LINN;HARIDUS;1519;1987;2265;69;10;93709;1420;8;61219;998;10;160203;0;2032;75;50621
1;Harju maakond;KEILA LINN;TERVISHOID JA SOTSIAALHOOLEKANNE;2015;1987;2673;47;9;93709;1715;9;61219;1613;5;5102;0;908;289;268767
1;Harju maakond;KEILA LINN;KUNST, MEELELAHUTUS JA VABA AEG;1326;1987;1652;130;10;93709;2338;6;61219;1376;15;117070;0;-2658;47;23971
1;Harju maakond;KEILA LINN;MUUD TEENINDAVAD TEGEVUSED;1265;1987;1365;148;30;93709;4429;24;61219;3685;21;125561;0;14278;70;28830
1;Harju maakond;KEILA LINN;KODUMAJAPIDAMISTE KUI TÖÖANDJATE TEGEVUS KODUMAJAPIDAMISTE OMA TARBEKS MÕELDUD ERISTAMATA KAUPADE TOOTMINE JA TEENUSTE OSUTAMINE;;1987;1026;1;;93709;;;61219;;0;0;0;0;;
1;Harju maakond;KIILI VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1298;1987;1508;39;12;93709;3856;7;61219;2714;18;632897;0;60627;26;15938
1;Harju maakond;KIILI VALD;TÖÖTLEV TÖÖSTUS;1839;1987;1689;111;50;93709;7120;42;61219;5613;61;3429190;327009;21437;406;387336
1;Harju maakond;KIILI VALD;EHITUS;1629;1987;1696;160;75;93709;11688;53;61219;9059;96;2015568;999;185173;236;195713
