;; ;;Palgainfo;;;Ettevõtete arv;;;;Töötajatega ettevõtete arv  ;;;Käibemaksuinfo;;;;Tööjõumaksud;
KUU;MAAKOND;KOHALIK OMAVALITSUS;TEGEVUSALA;Keskmine palk sellel tegevusalal omavalitsuse territooriumil tegutsevates ettevõtetes (eurodes);Keskmine palk Eestis (eurodes);Keskmine palk sellel tegevusalal (eurodes);Juriidiliste isikute arv omavalitsuses;Tegutsevate ettevõtete arv omavalitsuses;Tegutsevate ettevõtete arv Eestis;Tegutsevate ettevõtete arv sellel tegevusalal  ;Töötajatega ettevõtete arv omavalitsuses;Töötajatega ettevõtete arv Eestis;Töötajatega ettevõtete arv sellel tegevusalal Eestis;Deklaratsiooni KMD esitavate juriidiliste isikute arv omavalitsuses;Käive kokku (eurodes);Eksport  (eurodes);Tasumisele kuuluv käibemaks (eurodes);Omavalitsuse tööandjate deklaratsioonis TSD märgitud töötajate arv;Omavalitsuse tööandjate  deklareeritud tööjõumaksud (eurodes)
1;Tartu maakond;TARTU LINN;MÄETÖÖSTUS;1599;1987;2043;17;5;93709;122;5;61219;101;7;180078;0;21925;16;11387
1;Tartu maakond;TARTU LINN;TÖÖTLEV TÖÖSTUS;1735;1987;1689;899;420;93709;7120;348;61219;5613;508;62782814;4980186;-298802;5199;4515672
1;Tartu maakond;TARTU LINN;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;2668;1987;2532;94;22;93709;661;8;61219;172;31;10821553;0;1010197;75;109235
1;Tartu maakond;TARTU LINN;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";2115;1987;1832;33;15;93709;261;14;61219;213;18;3828929;488752;80008;276;293079
1;Tartu maakond;TARTU LINN;EHITUS;1660;1987;1696;2046;890;93709;11688;704;61219;9059;1109;40941332;8323;160402;3400;2704378
1;Tartu maakond;TARTU LINN;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1623;1987;1678;2658;1169;93709;16421;823;61219;10798;1473;149111608;7759297;12721910;5540;4221485
1;Tartu maakond;TARTU LINN;VEONDUS JA LAONDUS;1382;1987;1733;660;271;93709;5322;215;61219;4051;306;14636870;0;-345271;1796;1141025
1;Tartu maakond;TARTU LINN;MAJUTUS JA TOITLUSTUS;1252;1987;1286;527;239;93709;3159;207;61219;2443;286;7760002;0;428542;1926;949075
1;Tartu maakond;TARTU LINN;INFO JA SIDE;3535;1987;3378;1478;442;93709;7933;283;61219;3479;576;23213808;17971;642377;2643;4877938
1;Tartu maakond;TARTU LINN;FINANTS- JA KINDLUSTUSTEGEVUS;3368;1987;2920;608;48;93709;1066;35;61219;730;48;8350806;0;157962;368;660384
1;Tartu maakond;TARTU LINN;KINNISVARAALANE TEGEVUS;1763;1987;1417;2382;654;93709;6953;304;61219;2934;848;22380499;7851;803215;865;605613
1;Tartu maakond;TARTU LINN;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;2202;1987;2330;3159;953;93709;14046;673;61219;7988;1036;16417965;850497;1036916;2486;2499262
1;Tartu maakond;TARTU LINN;HALDUS- JA ABITEGEVUSED;1489;1987;1848;1015;272;93709;5185;172;61219;3243;348;7355404;0;625545;786;485322
1;Tartu maakond;TARTU LINN;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";2072;1987;2215;12;;93709;;;61219;;8;671124;0;-141486;4578;4802292
1;Tartu maakond;TARTU LINN;HARIDUS;2454;1987;2265;835;139;93709;1420;107;61219;998;119;3295192;375;317453;6889;7103216
1;Tartu maakond;TARTU LINN;TERVISHOID JA SOTSIAALHOOLEKANNE;3532;1987;2673;582;205;93709;1715;195;61219;1613;63;30440093;0;271513;6772;9675833
1;Tartu maakond;TARTU LINN;KUNST, MEELELAHUTUS JA VABA AEG;1694;1987;1652;1508;163;93709;2338;93;61219;1376;227;2136705;18327;150672;957;694209
1;Tartu maakond;TARTU LINN;MUUD TEENINDAVAD TEGEVUSED;1423;1987;1365;1747;367;93709;4429;326;61219;3685;198;2848348;0;342305;1083;573884
1;Tartu maakond;TARTU LINN;Tegevusala määramata;1676;1987;1712;43;;93709;14;;61219;9;4;517905;0;68964;368;300491
1;Tartu maakond;TARTU VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1620;1987;1508;172;65;93709;3856;48;61219;2714;103;2262139;0;78312;176;139739
1;Tartu maakond;TARTU VALD;MÄETÖÖSTUS;1839;1987;2043;4;2;93709;122;2;61219;101;3;132104;0;7439;16;15057
1;Tartu maakond;TARTU VALD;TÖÖTLEV TÖÖSTUS;1758;1987;1689;220;110;93709;7120;87;61219;5613;131;35377060;3071911;-54200;2263;2061659
1;Tartu maakond;TARTU VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1566;1987;2532;8;5;93709;661;2;61219;172;6;524597;0;71755;3;2507
1;Tartu maakond;TARTU VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1142;1987;1832;10;2;93709;261;2;61219;213;2;31678;0;3292;12;4899
1;Tartu maakond;TARTU VALD;EHITUS;1171;1987;1696;344;168;93709;11688;129;61219;9059;202;2221487;0;29871;353;178157
1;Tartu maakond;TARTU VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1673;1987;1678;293;135;93709;16421;89;61219;10798;154;19871363;673803;2805850;648;504787
1;Tartu maakond;TARTU VALD;VEONDUS JA LAONDUS;949;1987;1733;102;56;93709;5322;46;61219;4051;55;1062977;0;22596;164;64946
1;Tartu maakond;TARTU VALD;MAJUTUS JA TOITLUSTUS;1011;1987;1286;50;16;93709;3159;11;61219;2443;19;118961;0;7462;38;13625
1;Tartu maakond;TARTU VALD;INFO JA SIDE;1966;1987;3378;127;38;93709;7933;18;61219;3479;54;674103;0;-77041;44;42621
1;Tartu maakond;TARTU VALD;FINANTS- JA KINDLUSTUSTEGEVUS;977;1987;2920;62;4;93709;1066;1;61219;730;6;158953;0;26480;1;407
1;Tartu maakond;TARTU VALD;KINNISVARAALANE TEGEVUS;1044;1987;1417;226;55;93709;6953;25;61219;2934;80;719460;0;58741;42;17308
1;Tartu maakond;TARTU VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1540;1987;2330;284;90;93709;14046;60;61219;7988;94;352782;0;40623;80;39022
1;Tartu maakond;TARTU VALD;HALDUS- JA ABITEGEVUSED;1521;1987;1848;134;41;93709;5185;24;61219;3243;53;444960;0;-5911;70;45490
1;Tartu maakond;TARTU VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1752;1987;2215;5;;93709;;;61219;;0;0;0;0;607;480919
1;Tartu maakond;TARTU VALD;HARIDUS;1193;1987;2265;88;4;93709;1420;2;61219;998;5;4152;0;-705;6;2664
1;Tartu maakond;TARTU VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;3146;1987;2673;43;8;93709;1715;8;61219;1613;2;0;0;0;70;84487
1;Tartu maakond;TARTU VALD;KUNST, MEELELAHUTUS JA VABA AEG;1274;1987;1652;168;10;93709;2338;4;61219;1376;17;35117;0;-1844;25;10297
1;Tartu maakond;TARTU VALD;MUUD TEENINDAVAD TEGEVUSED;1138;1987;1365;165;31;93709;4429;27;61219;3685;20;59378;0;1055;58;24031
1;Tartu maakond;TARTU VALD;Tegevusala määramata;;1987;1712;3;;93709;14;;61219;9;0;0;0;0;;
1;Valga maakond;OTEPÄÄ VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1232;1987;1508;140;56;93709;3856;44;61219;2714;81;989382;0;78059;158;86751
1;Valga maakond;OTEPÄÄ VALD;MÄETÖÖSTUS;800;1987;2043;7;5;93709;122;3;61219;101;4;3093;0;320;4;1171
1;Valga maakond;OTEPÄÄ VALD;TÖÖTLEV TÖÖSTUS;1466;1987;1689;88;38;93709;7120;30;61219;5613;47;7378094;41857;620652;575;416114
1;Valga maakond;OTEPÄÄ VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1452;1987;2532;40;8;93709;661;4;61219;172;10;211122;0;8189;15;9182
1;Valga maakond;OTEPÄÄ VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";;1987;1832;1;;93709;261;;61219;213;0;0;0;0;;
1;Valga maakond;OTEPÄÄ VALD;EHITUS;2202;1987;1696;136;72;93709;11688;59;61219;9059;89;9598585;0;-189699;291;327001
1;Valga maakond;OTEPÄÄ VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1195;1987;1678;120;55;93709;16421;46;61219;10798;71;3147108;351629;133779;159;72790
1;Valga maakond;OTEPÄÄ VALD;VEONDUS JA LAONDUS;1067;1987;1733;39;17;93709;5322;12;61219;4051;19;300050;0;21615;30;12660
1;Valga maakond;OTEPÄÄ VALD;MAJUTUS JA TOITLUSTUS;1087;1987;1286;92;38;93709;3159;24;61219;2443;45;575426;0;18519;129;49481
1;Valga maakond;OTEPÄÄ VALD;INFO JA SIDE;1734;1987;3378;31;11;93709;7933;7;61219;3479;12;16652;0;-57;7;2986
1;Valga maakond;OTEPÄÄ VALD;KINNISVARAALANE TEGEVUS;1168;1987;1417;74;21;93709;6953;11;61219;2934;26;128995;0;14455;14;6181
1;Valga maakond;OTEPÄÄ VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1397;1987;2330;117;35;93709;14046;25;61219;7988;37;192338;0;9467;34;13312
1;Valga maakond;OTEPÄÄ VALD;HALDUS- JA ABITEGEVUSED;1275;1987;1848;75;25;93709;5185;17;61219;3243;31;289990;58683;-12778;39;18094
1;Valga maakond;OTEPÄÄ VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1944;1987;2215;3;;93709;;;61219;;0;0;0;0;308;228173
1;Valga maakond;OTEPÄÄ VALD;HARIDUS;;1987;2265;34;2;93709;1420;;61219;998;3;11021;0;1723;;
1;Valga maakond;OTEPÄÄ VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2343;1987;2673;25;12;93709;1715;10;61219;1613;2;55155;0;31;106;84131
1;Valga maakond;OTEPÄÄ VALD;KUNST, MEELELAHUTUS JA VABA AEG;1265;1987;1652;137;18;93709;2338;10;61219;1376;20;492306;0;-2370;126;69886
1;Valga maakond;OTEPÄÄ VALD;MUUD TEENINDAVAD TEGEVUSED;1591;1987;1365;117;21;93709;4429;18;61219;3685;8;752930;0;122456;110;72759
1;Valga maakond;OTEPÄÄ VALD;Tegevusala määramata;;1987;1712;7;;93709;14;;61219;9;0;0;0;0;;
1;Valga maakond;TÕRVA VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1486;1987;1508;143;52;93709;3856;36;61219;2714;83;1658719;0;62896;137;90726
1;Valga maakond;TÕRVA VALD;TÖÖTLEV TÖÖSTUS;1176;1987;1689;70;33;93709;7120;23;61219;5613;41;5283887;1321822;-306973;424;231086
1;Valga maakond;TÕRVA VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;;1987;2532;6;4;93709;661;;61219;172;4;4254;0;-2994;;
1;Valga maakond;TÕRVA VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1410;1987;1832;3;2;93709;261;2;61219;213;2;53211;0;3097;6;4613
1;Valga maakond;TÕRVA VALD;EHITUS;1096;1987;1696;104;47;93709;11688;36;61219;9059;54;333489;0;-12270;97;48655
1;Valga maakond;TÕRVA VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1510;1987;1678;111;42;93709;16421;27;61219;10798;56;6727193;0;254289;249;177416
1;Valga maakond;TÕRVA VALD;VEONDUS JA LAONDUS;1558;1987;1733;25;9;93709;5322;6;61219;4051;14;208660;0;5295;28;12771
1;Valga maakond;TÕRVA VALD;MAJUTUS JA TOITLUSTUS;1039;1987;1286;30;13;93709;3159;10;61219;2443;20;408982;0;-11186;73;27193
1;Valga maakond;TÕRVA VALD;INFO JA SIDE;2268;1987;3378;15;4;93709;7933;2;61219;3479;5;11056;0;337;2;1978
1;Valga maakond;TÕRVA VALD;KINNISVARAALANE TEGEVUS;1079;1987;1417;48;21;93709;6953;9;61219;2934;23;614352;0;35111;13;8064
1;Valga maakond;TÕRVA VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1237;1987;2330;82;27;93709;14046;23;61219;7988;24;117880;0;8432;36;13884
1;Valga maakond;TÕRVA VALD;HALDUS- JA ABITEGEVUSED;886;1987;1848;42;14;93709;5185;8;61219;3243;14;74535;0;2650;32;10845
1;Valga maakond;TÕRVA VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";2439;1987;2215;1;;93709;;;61219;;0;0;0;0;248;181841
1;Valga maakond;TÕRVA VALD;HARIDUS;1450;1987;2265;26;3;93709;1420;1;61219;998;3;3752;0;-338;1;399
1;Valga maakond;TÕRVA VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;1512;1987;2673;21;6;93709;1715;6;61219;1613;1;8620;0;-5;100;56379
1;Valga maakond;TÕRVA VALD;KUNST, MEELELAHUTUS JA VABA AEG;1048;1987;1652;84;7;93709;2338;5;61219;1376;9;133903;0;6061;17;7561
1;Valga maakond;TÕRVA VALD;MUUD TEENINDAVAD TEGEVUSED;956;1987;1365;90;16;93709;4429;14;61219;3685;8;8619;0;-706;21;6737
1;Valga maakond;TÕRVA VALD;Tegevusala määramata;;1987;1712;2;;93709;14;;61219;9;0;0;0;0;;
1;Valga maakond;VALGA VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1330;1987;1508;179;67;93709;3856;49;61219;2714;102;2649942;0;120932;214;132574
1;Valga maakond;VALGA VALD;MÄETÖÖSTUS;1194;1987;2043;2;2;93709;122;2;61219;101;2;43436;0;-948;5;2818
1;Valga maakond;VALGA VALD;TÖÖTLEV TÖÖSTUS;1357;1987;1689;105;55;93709;7120;47;61219;5613;57;10741053;1036333;229294;947;620953
1;Valga maakond;VALGA VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1157;1987;1832;3;3;93709;261;3;61219;213;3;357187;0;27610;46;23904
1;Valga maakond;VALGA VALD;EHITUS;1262;1987;1696;207;80;93709;11688;65;61219;9059;105;1399419;0;115629;218;122844
1;Valga maakond;VALGA VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1262;1987;1678;251;104;93709;16421;78;61219;10798;140;6539541;26460;729823;273;146952
1;Valga maakond;VALGA VALD;VEONDUS JA LAONDUS;940;1987;1733;72;34;93709;5322;25;61219;4051;37;1169440;71000;39907;115;36199
1;Valga maakond;VALGA VALD;MAJUTUS JA TOITLUSTUS;822;1987;1286;38;14;93709;3159;13;61219;2443;18;171082;0;13891;55;17277
1;Valga maakond;VALGA VALD;INFO JA SIDE;1535;1987;3378;51;16;93709;7933;6;61219;3479;22;54096;0;4381;17;11086
1;Valga maakond;VALGA VALD;FINANTS- JA KINDLUSTUSTEGEVUS;;1987;2920;17;;93709;1066;;61219;730;1;0;0;0;;
1;Valga maakond;VALGA VALD;KINNISVARAALANE TEGEVUS;936;1987;1417;91;27;93709;6953;14;61219;2934;31;186493;0;14153;19;4543
1;Valga maakond;VALGA VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1480;1987;2330;142;34;93709;14046;26;61219;7988;35;152441;0;-1762;66;43658
1;Valga maakond;VALGA VALD;HALDUS- JA ABITEGEVUSED;1158;1987;1848;103;25;93709;5185;15;61219;3243;33;198509;0;7133;44;21114
1;Valga maakond;VALGA VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1295;1987;2215;2;;93709;;;61219;;1;0;0;-119;650;401180
1;Valga maakond;VALGA VALD;HARIDUS;2145;1987;2265;57;5;93709;1420;4;61219;998;9;44493;0;3408;128;126740
1;Valga maakond;VALGA VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2169;1987;2673;33;8;93709;1715;8;61219;1613;3;1180086;0;1891;494;410976
1;Valga maakond;VALGA VALD;KUNST, MEELELAHUTUS JA VABA AEG;1524;1987;1652;144;6;93709;2338;2;61219;1376;8;20142;0;-937;26;13198
1;Valga maakond;VALGA VALD;MUUD TEENINDAVAD TEGEVUSED;851;1987;1365;168;25;93709;4429;21;61219;3685;10;20232;0;-220;39;8080
1;Valga maakond;VALGA VALD;Tegevusala määramata;;1987;1712;5;;93709;14;;61219;9;0;0;0;0;;
1;Viljandi maakond;MULGI VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1092;1987;1508;176;62;93709;3856;47;61219;2714;99;1115262;0;54519;121;56756
1;Viljandi maakond;MULGI VALD;MÄETÖÖSTUS;;1987;2043;3;;93709;122;;61219;101;3;0;0;-2502;;
1;Viljandi maakond;MULGI VALD;TÖÖTLEV TÖÖSTUS;1596;1987;1689;80;38;93709;7120;33;61219;5613;51;8463250;1350965;-68150;491;392195
1;Viljandi maakond;MULGI VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1693;1987;2532;5;5;93709;661;3;61219;172;5;284095;0;22130;11;8238
1;Viljandi maakond;MULGI VALD;EHITUS;1486;1987;1696;151;54;93709;11688;46;61219;9059;73;914864;0;228;116;80046
1;Viljandi maakond;MULGI VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1334;1987;1678;107;36;93709;16421;23;61219;10798;56;1562132;0;99122;162;100429
1;Viljandi maakond;MULGI VALD;VEONDUS JA LAONDUS;1367;1987;1733;29;11;93709;5322;8;61219;4051;16;66408;0;2578;13;5237
1;Viljandi maakond;MULGI VALD;MAJUTUS JA TOITLUSTUS;839;1987;1286;24;8;93709;3159;5;61219;2443;13;63376;0;4273;27;8470
1;Viljandi maakond;MULGI VALD;INFO JA SIDE;4628;1987;3378;34;6;93709;7933;1;61219;3479;11;34304;0;1121;1;525
1;Viljandi maakond;MULGI VALD;KINNISVARAALANE TEGEVUS;869;1987;1417;52;15;93709;6953;6;61219;2934;17;32387;0;349;8;3051
1;Viljandi maakond;MULGI VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1301;1987;2330;64;19;93709;14046;15;61219;7988;20;99666;0;8330;33;20857
1;Viljandi maakond;MULGI VALD;HALDUS- JA ABITEGEVUSED;1074;1987;1848;65;23;93709;5185;16;61219;3243;29;129489;0;-467;32;13698
1;Viljandi maakond;MULGI VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1661;1987;2215;3;;93709;;;61219;;0;0;0;0;361;252669
1;Viljandi maakond;MULGI VALD;HARIDUS;1450;1987;2265;35;2;93709;1420;1;61219;998;4;4916;0;769;1;280
1;Viljandi maakond;MULGI VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2475;1987;2673;20;4;93709;1715;4;61219;1613;2;59244;0;-3823;65;43819
1;Viljandi maakond;MULGI VALD;KUNST, MEELELAHUTUS JA VABA AEG;700;1987;1652;97;3;93709;2338;;61219;1376;5;75747;0;364;1;397
1;Viljandi maakond;MULGI VALD;MUUD TEENINDAVAD TEGEVUSED;889;1987;1365;97;14;93709;4429;10;61219;3685;8;43972;0;6877;18;4706
1;Viljandi maakond;PÕHJA-SAKALA VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1500;1987;1508;175;71;93709;3856;59;61219;2714;108;3287388;0;236752;313;234676
1;Viljandi maakond;PÕHJA-SAKALA VALD;TÖÖTLEV TÖÖSTUS;1403;1987;1689;84;41;93709;7120;30;61219;5613;53;7501245;1218108;-87150;433;301602
1;Viljandi maakond;PÕHJA-SAKALA VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1672;1987;2532;4;4;93709;661;2;61219;172;4;322807;0;18526;25;19541
1;Viljandi maakond;PÕHJA-SAKALA VALD;EHITUS;1322;1987;1696;165;84;93709;11688;66;61219;9059;88;2330656;0;-1787;182;111082
1;Viljandi maakond;PÕHJA-SAKALA VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1134;1987;1678;94;51;93709;16421;32;61219;10798;59;1014724;189;47299;99;49991
1;Viljandi maakond;PÕHJA-SAKALA VALD;VEONDUS JA LAONDUS;1444;1987;1733;35;16;93709;5322;10;61219;4051;20;1136710;2500;-46724;115;83520
1;Viljandi maakond;PÕHJA-SAKALA VALD;MAJUTUS JA TOITLUSTUS;853;1987;1286;23;10;93709;3159;7;61219;2443;12;84377;0;-6760;29;9907
1;Viljandi maakond;PÕHJA-SAKALA VALD;INFO JA SIDE;1217;1987;3378;27;7;93709;7933;2;61219;3479;6;21732;0;3514;4;2498
1;Viljandi maakond;PÕHJA-SAKALA VALD;FINANTS- JA KINDLUSTUSTEGEVUS;2598;1987;2920;13;2;93709;1066;1;61219;730;2;39628;0;7183;2;2651
1;Viljandi maakond;PÕHJA-SAKALA VALD;KINNISVARAALANE TEGEVUS;1053;1987;1417;31;13;93709;6953;7;61219;2934;14;93771;0;3464;14;5874
1;Viljandi maakond;PÕHJA-SAKALA VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1204;1987;2330;76;35;93709;14046;25;61219;7988;28;180035;0;8235;28;12630
1;Viljandi maakond;PÕHJA-SAKALA VALD;HALDUS- JA ABITEGEVUSED;1244;1987;1848;70;21;93709;5185;10;61219;3243;30;208210;0;14000;15;7312
1;Viljandi maakond;PÕHJA-SAKALA VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1933;1987;2215;2;;93709;;;61219;;2;81059;0;6539;465;334487
1;Viljandi maakond;PÕHJA-SAKALA VALD;HARIDUS;1736;1987;2265;24;;93709;1420;;61219;998;2;56586;0;7981;78;55053
1;Viljandi maakond;PÕHJA-SAKALA VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;1383;1987;2673;13;6;93709;1715;6;61219;1613;0;0;0;0;55;33002
1;Viljandi maakond;PÕHJA-SAKALA VALD;KUNST, MEELELAHUTUS JA VABA AEG;1385;1987;1652;84;3;93709;2338;2;61219;1376;7;9357;0;-1249;10;3615
1;Viljandi maakond;PÕHJA-SAKALA VALD;MUUD TEENINDAVAD TEGEVUSED;875;1987;1365;104;15;93709;4429;10;61219;3685;13;142182;0;17397;19;4185
1;Viljandi maakond;PÕHJA-SAKALA VALD;Tegevusala määramata;;1987;1712;1;;93709;14;;61219;9;0;0;0;0;;
1;Viljandi maakond;VILJANDI LINN;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1828;1987;1508;104;40;93709;3856;28;61219;2714;46;4439273;0;339452;107;98380
1;Viljandi maakond;VILJANDI LINN;MÄETÖÖSTUS;2663;1987;2043;5;2;93709;122;1;61219;101;3;265728;0;12985;12;17625
1;Viljandi maakond;VILJANDI LINN;TÖÖTLEV TÖÖSTUS;1534;1987;1689;185;97;93709;7120;79;61219;5613;111;42245019;6567146;-1704442;2619;2031675
1;Viljandi maakond;VILJANDI LINN;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;1940;1987;2532;55;32;93709;661;3;61219;172;32;1447257;0;86263;43;44785
1;Viljandi maakond;VILJANDI LINN;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1821;1987;1832;4;2;93709;261;2;61219;213;2;248538;0;38178;21;20433
1;Viljandi maakond;VILJANDI LINN;EHITUS;1518;1987;1696;364;163;93709;11688;126;61219;9059;202;5222887;128985;162981;597;434999
1;Viljandi maakond;VILJANDI LINN;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1394;1987;1678;402;200;93709;16421;139;61219;10798;224;11259824;44777;513040;907;553996
1;Viljandi maakond;VILJANDI LINN;VEONDUS JA LAONDUS;1148;1987;1733;78;34;93709;5322;31;61219;4051;39;667108;0;12957;106;51883
1;Viljandi maakond;VILJANDI LINN;MAJUTUS JA TOITLUSTUS;1163;1987;1286;93;49;93709;3159;41;61219;2443;57;846549;0;49241;290;136183
1;Viljandi maakond;VILJANDI LINN;INFO JA SIDE;2665;1987;3378;117;38;93709;7933;22;61219;3479;43;224099;0;28562;55;52300
1;Viljandi maakond;VILJANDI LINN;FINANTS- JA KINDLUSTUSTEGEVUS;2290;1987;2920;64;7;93709;1066;6;61219;730;5;162417;0;223;26;30571
1;Viljandi maakond;VILJANDI LINN;KINNISVARAALANE TEGEVUS;1217;1987;1417;252;71;93709;6953;33;61219;2934;97;1265048;100142;72815;88;36220
1;Viljandi maakond;VILJANDI LINN;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;2012;1987;2330;346;122;93709;14046;78;61219;7988;117;826292;21080;-31793;245;214499
1;Viljandi maakond;VILJANDI LINN;HALDUS- JA ABITEGEVUSED;1328;1987;1848;160;46;93709;5185;31;61219;3243;53;1444383;0;53380;193;53501
1;Viljandi maakond;VILJANDI LINN;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1973;1987;2215;3;;93709;;;61219;;0;0;0;0;1194;864274
1;Viljandi maakond;VILJANDI LINN;HARIDUS;2063;1987;2265;91;12;93709;1420;9;61219;998;12;91132;1390;10314;325;286691
1;Viljandi maakond;VILJANDI LINN;TERVISHOID JA SOTSIAALHOOLEKANNE;2123;1987;2673;69;30;93709;1715;30;61219;1613;3;28927;0;152;279;244466
1;Viljandi maakond;VILJANDI LINN;KUNST, MEELELAHUTUS JA VABA AEG;1462;1987;1652;280;30;93709;2338;15;61219;1376;41;347227;0;21260;215;143763
1;Viljandi maakond;VILJANDI LINN;MUUD TEENINDAVAD TEGEVUSED;1140;1987;1365;266;46;93709;4429;41;61219;3685;32;216909;0;12013;103;43730
1;Viljandi maakond;VILJANDI LINN;Tegevusala määramata;175;1987;1712;12;;93709;14;;61219;9;2;6246;0;1056;1;96
1;Viljandi maakond;VILJANDI VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1346;1987;1508;285;126;93709;3856;98;61219;2714;181;7227742;0;338283;525;338345
1;Viljandi maakond;VILJANDI VALD;MÄETÖÖSTUS;1608;1987;2043;9;4;93709;122;3;61219;101;5;817261;135358;-24282;47;40660
1;Viljandi maakond;VILJANDI VALD;TÖÖTLEV TÖÖSTUS;1476;1987;1689;181;91;93709;7120;64;61219;5613;101;8262940;262166;-27317;683;479724
1;Viljandi maakond;VILJANDI VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;;1987;2532;12;4;93709;661;;61219;172;7;1555;0;-1666;;
1;Viljandi maakond;VILJANDI VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1864;1987;1832;9;4;93709;261;3;61219;213;5;77084;0;8270;16;10717
1;Viljandi maakond;VILJANDI VALD;EHITUS;1343;1987;1696;310;133;93709;11688;108;61219;9059;164;1489379;0;14861;331;203905
