Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
10000018;AMSERV AUTO OSAÜHING;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1723564,93;1259899,67;34309154,1;244
10000024;EESTI RAAMAT, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );40887,53;37574,01;236676,56;11
10000062;ALDO KOPPEL;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Ida-Viru ( Lüganuse vald );313,27;0;1941,1;
10000127;ARAVETE APTEEK, TÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Järva ( Järva vald );13645,23;7727,48;175762,61;2
10000165;KIVIÕLI KAUBAHOOV, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Lüganuse vald );165019,03;76879,44;830501,52;36
10000248;ITW CONSTRUCTION PRODUCTS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );84515,57;17892,34;569046,51;3
10000356;ESTIKO, AS;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );429126,65;91425,17;3168241,49;20
10000372;SAARIOINEN EESTI OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Rapla ( Rapla vald );561004,59;306979,97;4479098,85;86
10000395;KUUMTRÜKK, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );11694,87;6971,19;29462,42;6
10000455;EHITUSMEISTER, OÜ;Äriühing;jah;EHITUS;Võru ( Võru linn );7032,99;4027,04;18077,54;3
10000461;MUAREE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Võru linn );305,26;84,58;3707,25;1
10000515;B.BRAUN MEDICAL, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );784858,3;300139,49;5455143,68;32
10000550;GPK PARTNERID, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );27763,98;13815,36;59806,19;7
10000573;AKTSIASELTS METAPRINT;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );1287673,36;1060112;28613909,68;254
10000610;KITOON, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Antsla vald );3935,3;2470,01;13384,35;3
10000774;CASUS, UÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Tartu ( Tartu linn );4834,17;0;31146,27;
10000805;ELKE TALLINN AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1631584,69;708540,94;23263960,15;140
10000811;DINER OSAÜHING;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Väike-Maarja vald );107294,93;23955,43;632773,58;9
10000828;B & P OIL, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );2657,46;2092,16;33999,64;2
10000840;REWERA OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Kambja vald );200,08;0;2001,14;
10000900;ÕITSENG, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Haljala vald );118590,63;66462,31;674008,47;23
10001012;SOLINGER INVEST OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );96,33;0;994,02;
10001118;SEMIDOR, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );16111,07;3406,39;69895,94;1
10001166;TOPAUTO, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1481944,37;349040,51;10587522,04;70
10001236;RAVESSAARE, OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );16,66;0;;
10001259;ATLANTISE KIRJASTUS, OÜ;Äriühing;jah;INFO JA SIDE;Lääne ( Vormsi vald );3,24;0;79;
10001288;SLOPS, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );476,8;540,4;0;1
10001302;ARTUSE OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );913,23;506,25;;
10001348;A & D TEHNOTEENISTUSE OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );158,28;0;3635,8;
10001383;KEK ELEKTER, OÜ;Äriühing;jah;EHITUS;Lääne-Viru ( Rakvere vald );111108,06;63444,37;645943,33;23
10001437;VERSKA MINERAALVEE OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Võru ( Setomaa vald );112176,19;48315,05;329235,63;12
10001561;RELYX, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );87694,71;10694,28;635646,49;4
10001584;JANERE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Saue vald );14167,73;8907,54;271002,1;10
10001590;KATUS AS;Äriühing;jah;EHITUS;Lääne-Viru ( Väike-Maarja vald );;;14960;
10001638;TAPA PUIT, OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Lääne-Viru ( Tapa vald );41,31;0;;
10001689;ESTIKO-PLASTAR, AS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );948831,81;1017273,12;17096250,47;210
10001710;AHTO ÄRITEENUSTE OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Jõgeva ( Põltsamaa vald );1395,53;895,11;;2
10001791;ILMRE OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );98122,02;76472,26;1078336,63;32
10001839;OÜ BRAMHAM TRADE;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );55112,59;17438,17;294773,25;9
10001880;SPIDER AUTOGRUPP, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );1644,75;0;7796,73;
10001905;TENTAMEN, OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1560,9;1655,04;;2
10001928;K-KREEDIT, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Järva ( Türi vald );9322,6;6392,85;16618,36;2
10001940;AUTO ID OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );34786,28;11661,22;200913,05;3
10001957;CE TEHNIKA OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );199,04;0;1842,06;1
10001992;REISIBÜROO MERE, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Saare ( Saaremaa vald );0;0;900;
10002098;TAASTUSRAVIKESKUS VIIKING, AS;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Pärnu ( Pärnu linn );218382,36;207314,21;1122236,04;130
10002135;EVOLER, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Võru ( Võru linn );13578,62;5047,6;46017,68;1
10002170;OÜ HARTO;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );2207,91;0;;
10002201;SCANWOOD, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Valga ( Otepää vald );4801,43;3082,48;27514,16;2
10002218;AMIDON OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );8557,02;5111,18;22517,58;5
10002282;KREEGIMÄE TALU;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Kadrina vald );953,36;649,22;2595,02;1
10002307;AUTOKLANTS, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );1328,66;957,35;0;
10002324;TEBO GRUPP, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Viimsi vald );622,23;0;3416;
10002342;LÕUNAIDU, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );44052,49;9182,44;100603,03;3
10002365;VIA GREEN ALLEY OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Ida-Viru ( Narva linn );;;0;
10002371;HAVERA, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Harku vald );9154,84;3830,83;20194,35;2
10002388;DESTEIN OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );15614,94;8061,4;86164,45;2
10002394;ALLFILM, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );77338,74;35800,39;353172,05;7
10002419;PLAMOST, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1452,83;0;10178,16;
10002543;HAAPSALU PEREARST, TÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Lääne ( Haapsalu linn );32470,07;34359,68;;7
10002572;TEXLIN, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );33035,1;18319,25;201039,5;7
10002589;UHTNA POOD, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere vald );7200,73;4854,64;47863,78;3
10002715;MACULA, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Ida-Viru ( Lüganuse vald );11576,16;13160,61;;3
10002750;TEIMRA, OÜ;Äriühing;jah;EHITUS;Tartu ( Kambja vald );0;462,36;4227,73;1
10002862;JAHVATAJA, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Rakvere vald );21926;8844,69;78652,74;4
10002922;TOPLEX, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Saare ( Saaremaa vald );1343,38;0;4522,32;
10002939;HEINO LÄÄN, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi vald );1322,95;0;11075,48;
10002945;AUDIITORIBÜROO REVISOR, OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Viljandi ( Viljandi linn );34896,73;6316,35;19442;3
10003011;ATRENDA, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );2294,78;1932,52;6711,22;4
10003034;KERRI C & M, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi linn );783,81;54,78;11857,62;1
10003040;DIMEDIUM GROUP OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );47486,52;34192,65;260891,48;6
10003057;NEOLIFE INTERNATIONAL OSAÜHING;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );185369,36;63780,58;1490031,21;12
10003100;MOTORAL EESTI AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );538104,2;214330,34;2919920,28;35
10003181;SVENAI, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Võru ( Võru linn );14966,36;12143,84;46859,99;6
10003212;FRAUMEL, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Lääne-Viru ( Rakvere linn );16102,82;4045,96;33291,14;3
10003229;BASEILO, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );31871,02;19467,67;181262,71;16
10003235;ANTAARES, AS;Äriühing;jah;EHITUS;Lääne-Viru ( Väike-Maarja vald );127079,79;83351,61;1826627,79;35
10003318;DEDEN-INVEST AS;Äriühing;jah;KINNISVARAALANE TEGEVUS;Pärnu ( Tori vald );6803,77;330,14;25819,2;1
10003363;MALVE TK, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Tartu ( Tartu linn );41048,28;21341,61;184868,9;18
10003376;REINUP REISID, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Viljandi ( Viljandi linn );5696,93;5433,04;40118,14;6
10003442;ARTESTI, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Ida-Viru ( Narva-Jõesuu linn );8717,17;2534,48;57207,41;
10003471;SAVEKATE, OÜ;Äriühing;jah;EHITUS;Tartu ( Tartu linn );535605,15;257108,3;5102686,77;64
10003488;ORDULA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Põlva ( Kanepi vald );3435,04;303,8;893,99;
10003494;BIOMED, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );1110,43;304,44;18852,46;
10003502;TÜDRUKUD, OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Raasiku vald );219996,05;107251,39;1181284,55;63
10003525;MARKE, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Järva ( Paide linn );28,32;0;230;
10003583;SKILINE, OÜ;Äriühing;jah;EHITUS;Harju ( Saue vald );1075,38;1065,46;350;1
10003592;TRAKMETS, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Rapla ( Kehtna vald );8498,85;7323,81;72425,12;10
10003608;CONSULTING ENGINEER, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Ida-Viru ( Kohtla-Järve linn );250,23;0;1900;
10003614;BIOCODEX OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );7299,7;14376,2;80320,45;
10003643;ALMACON, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );319,37;138,16;0;
10003666;HORTICOM OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );472486,44;160177,43;3569257,28;60
10003711;SIRVOS, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Pärnu ( Pärnu linn );12171,24;8699,97;144287,43;4
10003755;ITALPAK, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Pärnu ( Pärnu linn );1563,18;1650,17;5361,5;1
10003844;KNJ-TRANSPORT, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1590,93;1519,05;2483,28;2
10003850;FAABULA, AS;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Tallinn );9027,68;7257,46;12000;3
10003873;BASSEINITEHNIKA OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );181323,79;39677,56;693906,6;9
10003886;ANNINET-V, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );7173,75;5435,26;23841,68;5
10003896;KIRETEC, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Jõgeva ( Põltsamaa vald );16375,37;5821,12;68404,28;2
10003933;MARMOREK OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );521,69;0;3040;
10003979;JOSIF, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Viljandi ( Viljandi linn );22,65;112,71;11395,18;1
10003991;APEKI INVESTEERINGUD, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );176480,71;0;777868,83;
10004016;LÕUNAPIIM, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Võru ( Rõuge vald );33759,48;16653,62;150194,47;5
10004068;TARRIKS, AS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );1949,44;1827,71;289,18;1
10004128;AKRIIBIA, OÜ;Äriühing;jah;INFO JA SIDE;Saare ( Saaremaa vald );60,5;0;12410,47;
10004140;SINGULARIS, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );16623,6;10983,05;101254,33;8
10004173;EDITA, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Saare ( Saaremaa vald );2055,98;1114,2;8414,29;1
10004252;SEB PANK, AS;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Tallinn );18046205,5;8549669,02;99079382,36;1056
10004358;ALTHEA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );12779,23;8781,6;66638,67;3
10004418;GERKULES, TÜH;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Ida-Viru ( Narva linn );4120,93;2522,82;15965,37;3
10004424;CAVIAR HOUSE, OÜ;Äriühing;jah;INFO JA SIDE;Ida-Viru ( Narva linn );3298,19;1223,96;11725;1
10004430;LTT, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );680070,07;83077,02;3547829,65;22
10004476;MEDEMAR, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi linn );1058,22;1124,4;0;
10004499;GRADIENS, OÜ;Äriühing;jah;EHITUS;Ida-Viru ( Narva linn );22454,16;12172,77;113015,67;7
10004588;BRON-KINNISVARA OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );2213,8;2171;966,67;1
10004631;SAIAÄRI OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Lääne-Viru ( Tapa vald );19392,73;7485,85;48263,59;6
10004677;AKTSIASELTS EKSPRESS GRUPP;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );181323,07;127732,06;938478,18;11
10004737;KEDIIV, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );60130,84;6734,78;284251,63;3
10004743;VENNAD PÄRNAD, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Jõgeva ( Jõgeva vald );5264,88;0;23264,16;
10004766;TISLERI TALU;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Harju ( Saku vald );;;0;
10004826;PRISTIS, AS;Äriühing;jah;EHITUS;Harju ( Tallinn );900499,01;589195,76;3436778,68;117
10004890;MIHKLI, AS;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );0;0;-21565,68;
10004967;CERRO, OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Lüganuse vald );;;;2
10004973;AKTSIASELTS VÕRU VESI;Äriühing;jah;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";Võru ( Võru linn );0;96583,02;995137,49;24
10004980;SCHNEIDER ELECTRIC EESTI AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1681673,25;128468,94;13550457,26;18
10004996; YAICO OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );229966,69;226667,49;19500;3
10005033;LAPPURI, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );19579,83;0;107604,05;
10005056;KLEMANTON OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );739,64;0;14744,76;
10005091;EF PRODUCTION OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Rapla ( Rapla vald );154229,91;87409,42;798522,05;44
10005122;STOCKMANN AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1935036,82;852099,45;15229300,31;323
10005211;ERICSSON EESTI AS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );6848732,28;7144297,1;158367418,2;1779
10005257;LAANEISAND OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Jõgeva ( Põltsamaa vald );;;0;
10005331;PUREVA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Rapla ( Rapla vald );112247,12;35906,4;850133,48;11
10005375;ELLANTE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Pärnu ( Tori vald );3242,74;3114,92;52807,38;4
10005435;NRT, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );24814,27;18340,13;52357,82;4
10005470;R.O.B., OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Tartu ( Tartu linn );100;0;0;
10005487;OSAÜHING NÕO LIHATÖÖSTUS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Nõo vald );1371027,48;528722,68;16083357,49;180
10005518;OÜ KEIN;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1372,9;1372,9;0;
10005524;TARMO RAJANG;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Hiiu ( Hiiumaa vald );180,29;0;990,65;
10005547;SAEMEISTER, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );50230,34;29333,28;261000,5;9
10005599;J & O LAIDI KAUBANDUSE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );3587,69;2745,26;15376,72;1
10005642;E-VARULA, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Võru linn );12627,86;7992,92;44097,6;4
10005671;PÜÜNIS, TÜ;Äriühing;ei;VEONDUS JA LAONDUS;Harju ( Lääne-Harju vald );37,25;0;;
10005748;VIVANTE, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi vald );0;0;1785,4;
10006038;TIPPAUTO, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );9297,61;6009,38;71908,28;4
10006050;ESTLA OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );3565,04;3698,96;15130;5
10006067;FEE CATERING OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );32530,42;17086,75;142373,14;10
10006073;RADNES, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );4746,82;4350,88;24862,38;3
10006096;OSAÜHING HERMELIIN;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );9835,17;3777,66;24951,7;2
10006216;VILANDERT, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );12948,98;5872,24;74391,76;4
10006222;STOPP, OÜ;Äriühing;jah;EHITUS;Tartu ( Tartu linn );7930,3;5539,33;16328,67;2
10006239;J. ERTMANN, OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Tartu ( Kambja vald );5641,03;0;6744,9;
10006268;VIIMARS OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Viimsi vald );2833,75;678,14;17545,11;3
10006274;MATI JA MARE KAARE, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );425,8;0;2418,05;
10006280;SILMANI ELEKTER, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );412611,39;88944,66;3014066,98;36
10006328;MATTEN, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Jõgeva ( Põltsamaa vald );34245,48;1608,54;24550,28;2
10006363;ELENAAR, OÜ;Äriühing;jah;EHITUS;Tartu ( Tartu linn );14784,61;7610,47;48106,2;2
10006392;EMAJÕE HALDUSE OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );6554,51;5942,38;47074,87;4
10006469;OSAÜHING RAUNOPOL;Äriühing;jah;EHITUS;Harju ( Tallinn );;;600;
10006498;OSAÜHING KALLASTE KALUR;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Peipsiääre vald );47280,57;25309,74;214231,99;22
10006506;ERIMELL, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Kambja vald );225286,57;98653,91;1722240,98;29
10006512;AMARI METALS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );123780,44;71893,68;1804593,87;8
10006587;KASKOLA, OÜ;Äriühing;jah;EHITUS;Harju ( Saku vald );;;0;
