Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
12724521;FOTOVIDEO OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );9068,32;4703,02;18200;
12724542;RENDERS OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Viljandi ( Põhja-Sakala vald );;;0;
12724588;MUUSIKATUND OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );1311,67;1542,72;;1
12724594;EUROCAR OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );0;0;19802,67;
12724631;4U KINNISVARA OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );4911,95;263,44;7566;
12724648;ÕIGUSBÜROO EIKNER & CO OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );3103,35;88,9;9092,5;
12724683;VOLUME CAPITAL OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Rae vald );19241,62;0;93018,34;
12724720;TANKER BREWERY OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );877667,3;161216,5;5845516,18;35
12724743;DENTEM OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );32,46;0;;
12724795;OÜ TUULE TEE TEENUSED;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Harju ( Harku vald );970,7;1084,76;;1
12724849;REINEL OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Võru linn );4628,5;2897,2;34460,61;3
12724884;VARA-HA OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Tallinn );12562,07;2642,43;32002,8;
12724944;NEWBEGIN OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );3690,47;2018,5;29342,83;1
12724967;MARGUS MIKSON;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Võru ( Rõuge vald );143,6;0;1610;1
12724980;JK & F OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Harju ( Saue vald );474,37;0;5337,71;
12724996;DIVERTIMENT OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Saue vald );8948,78;4031,7;45715,89;5
12725004;RAISTRA EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );115,5;0;525;
12725027;OÜ PILATES TARTUS;Äriühing;ei;KUNST, MEELELAHUTUS JA VABA AEG;Tartu ( Luunja vald );1087,11;1210,78;;1
12725062;CERIO OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );996,29;1059,17;;1
12725122;COCOAPROM OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );2835,55;2709,29;116426,25;1
12725139;DELIVERY SERVICE OÜ;Äriühing;jah;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );3460,48;3462,62;65632,88;3
12725151;OÜ OMAPUU;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Vinni vald );323,44;335,44;0;
12725168;ANSELM OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );1272,69;1400,98;;1
12725197;OÜ PUFFEE;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );0;0;0;
12725205;RTRP CONSULT OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Pärnu ( Pärnu linn );139,89;151,44;;1
12725211;VRX MEEDIA OÜ;Äriühing;jah;INFO JA SIDE;Järva ( Paide linn );3184,55;950,09;14778;
12725257;VENEXA OÜ;Äriühing;ei;HALDUS- JA ABITEGEVUSED;;2430;2167,87;;
12725263;ROMERAK OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );2935,22;1325,48;11170,13;1
12725346;OÜ METZO;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Pärnu ( Pärnu linn );114,55;0;467,21;
12725375;OÜ SULTAN OIL;Äriühing;jah;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";Tartu ( Tartu linn );32037,07;3928,17;75030;3
12725412;VIENTITEC OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;
12725429;OÜ ANKRI;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi linn );4296,81;210;12500;
12725458;STUUDIO ANKOOPI OÜ;Äriühing;ei;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );936,71;1048,01;;1
12725464;VOL OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );1,06;0;0;
12725524;ELUPUU LINNUAED OÜ;Äriühing;ei;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Harju ( Kuusalu vald );823,35;894,17;;1
12725599;OÜ CLOSE IT;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );;;0;
12725613;DANX BALTICS OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );0;28067,6;3982853,14;7
12725694;NEVOTEX NARVA OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Ida-Viru ( Narva linn );153709,08;124138,47;1332541,07;62
12725702;FINIS GROUP OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );;;1650;
12725760;WILL DEAL OÜ;Äriühing;jah;KUNST, MEELELAHUTUS JA VABA AEG;Harju ( Tallinn );2914,9;1006,34;14435,16;1
12725808;FOXTRANS OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Harku vald );10996,14;5560,99;56670,2;3
12725926;VÄLEK OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );24604,11;8113,79;99973,26;10
12726009;ESTAR MÖÖBEL OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );10414,12;4721,42;96985,51;5
12726021;SPOTOFLOGISTICS OÜ;Äriühing;jah;VEONDUS JA LAONDUS;Harju ( Tallinn );35211,54;8965,4;337047,75;5
12726038;TOOMEMÄE OÜ;Äriühing;ei;MAJUTUS JA TOITLUSTUS;Võru ( Setomaa vald );684,23;729,28;;
12726141;KUUL EESTI OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );974,8;914,43;28620,6;1
12726206;TEVEKA EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );;;0;
12726216;KASKOD - MTRONIX OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Loksa linn );660,96;0;0;
12726274;PINO OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;1
12726305;OÜ JUHILUBA LIIKLUSKOOL;Äriühing;ei;HARIDUS;Harju ( Jõelähtme vald );1136,83;1296,6;;1
12726311;STIVERMAN GRUPP UÜ;Äriühing;ei;VEONDUS JA LAONDUS;Ida-Viru ( Narva linn );;;;1
12726386;MERIMED OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Ida-Viru ( Kohtla-Järve linn );97533,33;95036,82;;18
12726417;OÜ HAMPEL;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Valga ( Tõrva vald );13512,34;14308,77;;3
12726423;RANGUHOUSE OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );924,4;982,6;9498;1
12726452;ALTAMARINE CONSULTING OÜ;Äriühing;ei;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );238,32;255,12;;1
12726475;KARUOJA OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Harku vald );7122,61;2884,53;22906,64;
12726481;RANG EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );26871,58;9950,74;93098,1;4
12726506;HELIABI OÜ;Äriühing;ei;KUNST, MEELELAHUTUS JA VABA AEG;Pärnu ( Pärnu linn );25;0;;1
12726587;MIRION OÜ;Äriühing;ei;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );542,3;542,3;;
12726601;NERT SERVICES OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Harku vald );6040,77;4202,11;15571;1
12726624;KOBET EHITUS OÜ;Äriühing;jah;EHITUS;Järva ( Paide linn );174,08;0;804;2
12726647;NO LIMITS TEAM OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Pärnu ( Pärnu linn );220,71;0;2830,98;
12726653;KLEKSKELT INVESTMENT OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );186,75;0;3699,85;
12726676;PROTRADE COMPANY OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );;;358,04;
12726699;KEKO JOOGID OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Viimsi vald );;;2817,67;
12726765;CRYSTAL & PARD OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Ida-Viru ( Kohtla-Järve linn );934,6;869,72;4473,35;2
12726893;PIKK 14 TARTU OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );15844,9;7194,16;47536,36;3
12726914;RAMELA OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Jõgeva ( Põltsamaa vald );614,23;0;3847,5;
12726937;OÜ DANTON;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Võru ( Rõuge vald );945,71;1006,34;1884,14;2
12726943;DIGIPORTFOOLIO OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Ida-Viru ( Narva linn );1473,61;210;6193,18;
12726958;PT VARAHALDUSE OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );11079,1;1276,56;31836,71;1
12726966;GREA TECHNOLOGY OÜ;Äriühing;jah;INFO JA SIDE;Ida-Viru ( Narva linn );;;;
12727016;T-ILM OÜ;Äriühing;jah;HARIDUS;Harju ( Tallinn );0;0;21180;
12727055;TOONMA GRUPP OÜ;Äriühing;jah;EHITUS;Harju ( Harku vald );113,84;0;10862,26;
12727109;VIRU VÕRK OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Ida-Viru ( Kohtla-Järve linn );600,15;395,44;;2
12727115;RANNAKÜLA PUHKEMAJA OÜ;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Harju ( Tallinn );843,17;780,45;656,68;1
12727144;STARGATE OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Lääne-Harju vald );1052,38;988,35;0;1
12727204;MEKOSA EHITUS OÜ;Äriühing;jah;EHITUS;Harju ( Viimsi vald );55708,58;15575,98;342351,73;7
12727262;ELAABI OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );;;0;
12727285;TOPCAP OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );2834,81;0;12885,5;
12727291;RAHUMÄE HOOLDUS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Harku vald );;;0;
12727300;VMV GROUP OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );;;0;
12727322;GW GRUPP OÜ;Äriühing;jah;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";Harju ( Rae vald );15910;10003,89;116275;9
12727339;ELPASSO GROUP OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );;;0;
12727345;MOONFIRE HOLDINGS OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Harku vald );;;0;
12727351;NOVIRA TARTU MNT 83 OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );;;0;
12727405;PROJEKTILABOR OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );24,34;0;0;
12727411;BALTBOR OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );2344,24;484,7;10156;1
12727486;OSAÜHING ALMERIA;Äriühing;ei;KINNISVARAALANE TEGEVUS;Harju ( Harku vald );100;0;;
12727492;ENTREGA MÖÖBEL OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );5809,91;1131,11;58584,5;2
12727546;NOREPLY HOLDING OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );2066,7;2143,77;8975,15;1
12727598;SILUR OÜ;Äriühing;jah;EHITUS;Rapla ( Kehtna vald );211,28;226,64;17298,75;1
12727629;LIINIKUNST OÜ;Äriühing;jah;EHITUS;Harju ( Harku vald );882,74;366,85;55079;
12727635;URBAN TWINS OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );807,68;862,16;;1
12727664;VARATÕUSJA OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Hiiu ( Hiiumaa vald );0;0;2674,4;2
12727687;ROOSAARE OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Saku vald );12155,81;1400;;
12727753;ARTON BUILDER OÜ;Äriühing;jah;EHITUS;Harju ( Tallinn );1768,28;845,52;7346;1
12727776;ORIEN TRADE EESTI OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );3552,06;0;101987,51;
12727799;WOLKAR, OÜ;Äriühing;jah;EHITUS;Saare ( Saaremaa vald );44451,42;33335,4;247633,43;13
12727822;CHANDELLE HANDICRAFT OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Viimsi vald );0;0;1819,05;
12727842;CAREWORKS OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Pärnu ( Lääneranna vald );974,64;0;7207,72;
12727871;T.A. LOGISTICS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );;;0;
12727948;OÜ PSILORITIS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Harku vald );832,33;0;4215,28;
12727954;CONTANGO CAPITAL OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );87,42;0;0;
12728008;TIMBERAL OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Kambja vald );;;0;
12728014;LVL UP OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );;;0;
12728037;COFIESA OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );54185,06;391,76;1101164,78;
12728043;NORDICPRO OSAÜHING;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Harju ( Lääne-Harju vald );;;;
12728089;SKINTASTIC OÜ;Äriühing;ei;MUUD TEENINDAVAD TEGEVUSED;Harju ( Tallinn );879,27;983,38;;1
12728110;RAHVAKOOL OÜ;Äriühing;ei;HARIDUS;Harju ( Tallinn );1041,85;900,41;;1
